jobid, gpu type, gpu id, walltime (s), completion date
4775cf646d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1404, 2022-02-09T20:40:36.140229
47aeabfe6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, 1188, 2022-02-09T20:27:06.683658
47e264626d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1548, 2022-02-09T20:35:02.385644
4812415a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1620, 2022-02-09T20:57:26.262809
484cb9346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, 1368, 2022-02-09T20:48:58.274446
488927346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1224, 2022-02-09T21:00:16.175234
48bfcc3a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1368, 2022-02-09T21:19:40.320544
48f49a3c6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, 1512, 2022-02-09T21:14:08.539106
492125706d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, 1476, 2022-02-09T20:57:26.383726
495c12526d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1260, 2022-02-09T20:57:26.319794
498d73106d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1296, 2022-02-09T21:19:40.292652
49c07c926d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/14/0, 1476, 2022-02-09T21:28:05.859618
49f3a0186d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/12/0, 1404, 2022-02-09T21:28:05.896399
4a239b9c6d8111ecb423141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, 1224, 2022-02-09T21:16:55.115994
4a5af4e86d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1368, 2022-02-09T21:22:29.376625
4a91c3e26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/11/0, 1476, 2022-02-09T21:33:39.141359
4ac3254a6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/7/0, 1332, 2022-02-09T21:28:05.879261
4af3a85a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/8/0, 1188, 2022-02-09T21:30:52.457259
4b2790346d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, 1332, 2022-02-09T21:36:27.429458
4b5895bc6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1476, 2022-02-09T21:44:47.504155
4b8d0cca6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1404, 2022-02-09T21:42:00.923099
4bbee7546d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, 1260, 2022-02-09T21:39:15.260041
4befa48e6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1332, 2022-02-09T21:47:35.120709
4c2847b26d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/7/0, 1440, 2022-02-09T21:53:11.729361
4c5c6a746d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/14/0, 1440, 2022-02-09T21:53:11.746351
4c8c2dcc6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/12/0, 1152, 2022-02-09T21:47:35.131050
4cd293986d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/11/0, 1512, 2022-02-09T21:58:53.984692
4d05e68a6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/8/0, 2304, 2022-02-09T22:07:28.515093
4d3f308e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/13/0, 1908, 2022-02-09T22:10:16.440315
4d73c0a66d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, 1800, 2022-02-09T22:10:16.537422
4dad61da6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1476, 2022-02-09T22:10:16.458473
4de794226d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1620, 2022-02-09T22:10:16.429677
4e1aaef26d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1692, 2022-02-09T22:13:05.419145
4e540ca66d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/7/0, 1296, 2022-02-09T22:13:05.514896
4e8d8cce6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-da4c8a96-ce1c-ecde-26ec-54836bb03239/12/0, 1584, 2022-02-09T22:13:05.478269
4ebd4e6e6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, 2304, 2022-02-09T23:34:36.291251
4eef56f26d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, 1404, 2022-02-09T23:29:02.080311
4f2b579c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, 1224, 2022-02-09T23:29:02.070350
4f6320826d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/11/0, 2304, 2022-02-09T22:46:49.468108
4f9904186d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 2304, 2022-02-09T23:56:58.627708
4fd345e26d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1404, 2022-02-09T23:37:24.144745
500a84ee6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 2268, 2022-02-09T22:46:49.137541
503af1c46d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1332, 2022-02-09T23:31:49.595158
5066ccd66d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, 1728, 2022-02-09T23:56:58.654987
5093e78e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, 1512, 2022-02-09T22:46:50.389292
50c40ef06d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, 1224, 2022-02-09T23:31:49.500508
50fbd6506d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, 1476, 2022-02-09T22:46:49.023391
51291eee6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, 1872, 2022-02-09T22:58:09.133050
51573f9a6d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, 1332, 2022-02-09T22:49:39.844695
51855e486d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1224, 2022-02-09T23:48:35.264132
51b8f8f26d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/13/0, 1296, 2022-02-09T23:03:44.513475
51f0686e6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1440, 2022-02-09T23:09:26.778154
522242086d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, 1368, 2022-02-09T23:09:26.762122
525e62106d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, 1260, 2022-02-09T23:09:26.824438
52a27a686d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/11/0, 1440, 2022-02-09T23:59:49.522003
52dc0fd06d8111eca422141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, 1512, 2022-02-09T23:12:16.422020
530fda406d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1368, 2022-02-09T23:12:16.441315
535109a26d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, 1368, 2022-02-09T23:37:24.091471
5392fe7a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 2016, 2022-02-09T23:29:02.038107
53c82b406d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, 2124, 2022-02-09T23:51:23.316752
53f738226d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, 1620, 2022-02-09T23:56:58.610579
542eca266d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/12/0, 1548, 2022-02-09T23:56:58.578476
54666b0c6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1476, 2022-02-09T23:56:58.558493
549981046d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1512, 2022-02-10T00:02:42.534157
54d7e6ba6d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/10/0, 1332, 2022-02-09T23:59:49.501919
55107f166d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1188, 2022-02-10T00:08:20.190891
5544fef86d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, 1296, 2022-02-10T00:11:12.681832
55795b446d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, 1548, 2022-02-10T01:27:04.267603
55afa6fe6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1404, 2022-02-10T00:19:39.567516
55e757486d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-45a9f340-277e-4333-e8d3-50db12a2e439/9/0, 1260, 2022-02-10T00:16:51.067521
562a7f3c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1332, 2022-02-10T00:19:39.529833
565d65a06d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, 1548, 2022-02-10T02:21:00.458510
5697a3646d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1368, 2022-02-10T01:27:04.236998
56c8aa0e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/10/0, 1188, 2022-02-10T01:27:04.204147
5700817c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1368, 2022-02-10T00:25:14.567288
5735dfca6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1548, 2022-02-10T00:33:40.185490
576f157e6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, 1404, 2022-02-10T00:36:29.527957
57a8997a6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1224, 2022-02-10T00:42:09.006583
57dfdf706d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, 1296, 2022-02-10T02:21:00.529914
5812784a6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1440, 2022-02-10T00:44:57.949522
583e84446d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1368, 2022-02-10T00:47:45.477597
58779cf26d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/10/0, 1224, 2022-02-10T00:47:45.442976
58af86d06d8111ec934d141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, 1332, 2022-02-10T00:50:31.836622
58e4eb9a6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/7/0, 1476, 2022-02-10T00:53:18.263655
5917c7366d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/13/0, 1368, 2022-02-10T00:53:18.244167
5951a24e6d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, 1224, 2022-02-10T00:50:31.874076
5989278c6d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/12/0, 1332, 2022-02-10T00:56:04.997885
59c1b1ba6d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/7/0, 1512, 2022-02-10T01:01:39.209266
59eece346d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/9/0, 1440, 2022-02-10T01:04:29.418540
5a23a8026d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/8/0, 1188, 2022-02-10T01:04:29.391152
5a5248066d8111eca4d7141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-fbd133c4-df68-544e-eb71-ebf4073960b7/14/0, 1332, 2022-02-10T01:10:02.548679
5adf62726d8111ec83fa141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/11/0, 1476, 2022-02-10T01:15:39.416847
5b194f326d8111ec9af0141877284d92, A100-SXM4-40GB MIG 1g.5gb, MIG-GPU-82f7ff29-842d-bd66-33a4-279130adadc3/12/0, 1368, 2022-02-10T01:12:52.492490
